date,headline_inflation,food_inflation,core_inflation,notes
2019-01-01,11.37,13.51,9.80,
2019-02-01,11.31,13.47,9.80,
2019-03-01,11.25,13.39,9.78,
2019-04-01,11.37,13.70,9.28,
2019-05-01,11.40,13.79,9.10,
2019-06-01,11.22,13.56,8.77,
2019-07-01,11.08,13.38,8.67,
2019-08-01,11.02,13.17,8.68,
2019-09-01,11.24,13.51,8.68,
2019-10-01,11.61,14.09,8.83,
2019-11-01,11.85,14.48,9.00,
2019-12-01,11.98,14.67,9.13,
2020-01-01,12.13,14.85,9.87,
2020-02-01,12.20,14.90,9.97,
2020-03-01,12.26,14.98,10.03,COVID-19 pandemic begins
2020-04-01,12.34,15.03,10.12,
2020-05-01,12.40,15.04,10.12,
2020-06-01,12.56,15.18,10.13,
2020-07-01,12.82,15.48,10.25,
2020-08-01,13.22,15.98,10.52,
2020-09-01,13.71,16.66,10.58,
2020-10-01,14.23,17.38,10.58,
2020-11-01,14.89,18.30,10.61,
2020-12-01,15.75,19.56,11.35,
2021-01-01,16.47,20.57,11.44,
2021-02-01,17.33,21.79,12.30,
2021-03-01,18.17,22.95,12.67,
2021-04-01,18.12,22.72,13.01,
2021-05-01,17.93,22.28,13.11,
2021-06-01,17.75,21.83,13.09,
2021-07-01,17.38,21.03,13.37,
2021-08-01,17.01,20.30,13.40,
2021-09-01,16.63,19.57,13.41,
2021-10-01,15.99,18.34,13.29,
2021-11-01,15.40,17.21,13.01,
2021-12-01,15.63,17.37,13.87,
2022-01-01,15.60,17.11,13.87,
2022-02-01,15.70,17.11,14.01,
2022-03-01,15.92,17.20,14.21,
2022-04-01,16.82,18.37,14.71,
2022-05-01,17.71,19.50,15.29,
2022-06-01,18.60,20.60,15.80,
2022-07-01,19.64,22.02,16.26,
2022-08-01,20.52,23.12,16.79,
2022-09-01,20.77,23.34,17.60,
2022-10-01,21.09,23.72,17.76,
2022-11-01,21.47,24.13,17.93,
2022-12-01,21.34,23.75,17.84,
2023-01-01,21.82,24.32,17.91,
2023-02-01,21.91,24.35,18.04,
2023-03-01,22.04,24.45,18.24,
2023-04-01,22.22,24.61,18.72,
2023-05-01,22.41,24.82,19.14,Fuel subsidy removed May 29 2023
2023-06-01,22.79,25.25,19.77,Exchange rate unified June 14 2023
2023-07-01,24.08,26.98,20.47,
2023-08-01,25.80,29.34,21.34,
2023-09-01,26.72,30.64,21.84,
2023-10-01,27.33,31.52,22.05,
2023-11-01,28.20,32.84,22.38,
2023-12-01,28.92,33.93,23.06,
2024-01-01,29.90,35.41,23.59,
2024-02-01,31.70,37.92,25.13,
2024-03-01,33.20,40.01,25.90,
2024-04-01,33.69,40.53,26.10,Inflation peak — 28-year high
2024-05-01,33.95,40.66,26.81,
2024-06-01,34.19,40.87,27.40,
2024-07-01,33.40,39.53,27.47,
2024-08-01,32.15,37.52,27.58,
2024-09-01,32.70,37.77,27.43,
2024-10-01,32.60,37.41,27.40,
2024-11-01,34.60,39.93,28.75,
2024-12-01,34.80,40.00,29.20,
2025-01-01,24.48,26.08,22.05,NBS rebased CPI — base year changed to 2024
2025-02-01,23.18,24.11,21.31,
2025-03-01,22.43,23.51,20.91,
2025-04-01,22.12,23.01,20.17,
2025-05-01,21.34,21.91,19.85,
2025-06-01,21.17,21.41,19.68,
2025-07-01,21.01,20.87,19.55,
2025-08-01,20.34,19.61,19.72,
2025-09-01,18.02,16.87,19.50,
2025-10-01,16.05,13.12,18.70,
2025-11-01,14.45,11.43,18.63,
2025-12-01,15.15,10.84,18.63,NBS revised calculation method Dec 2025
2026-01-01,15.10,11.02,18.60,
2026-02-01,15.06,10.94,18.55,Lowest since November 2020
2026-03-01,15.38,14.10,16.21,
2026-04-01,15.69,16.06,15.86,First rise in 12 months — energy costs
